"username","req_id","pub_id","sim_score"
"dehrmann","999999","30566500","0"
"dehrmann","8638","30566500","0"
"jpekow","999999","29788063","0"
"jpekow","999999","29953254","0"
"jpekow","999999","30300561","0"
"jpekow","999999","29506124","0"
"jpekow","999999","28756053","0"
"jpekow","10180","29788063","0.048"
"jpekow","10180","29953254","0.034"
"jpekow","10180","30300561","0.027"
"jpekow","10180","29506124","0"
"jpekow","10180","28756053","0.035"
"jpekow","10526","29788063","0.047"
"jpekow","10526","29953254","0.026"
"jpekow","10526","30300561","0.019"
"jpekow","10526","29506124","0"
"jpekow","10526","28756053","0.061"
"jpekow","10543","29788063","0.037"
"jpekow","10543","29953254","0.013"
"jpekow","10543","30300561","0"
"jpekow","10543","29506124","0.029"
"jpekow","10543","28756053","0"
"jpekow","12781","29788063","0.044"
"jpekow","12781","29953254","0.011"
"jpekow","12781","30300561","0.017"
"jpekow","12781","29506124","0"
"jpekow","9266","29788063","0.09"
"jpekow","9266","29953254","0.037"
"jpekow","9266","30300561","0.028"
"jpekow","9266","29506124","0"
"jpekow","9266","28756053","0.044"
"okohn","10106","30669143","0"
"okohn","10106","29517835","0"
"apatel","10177","30237411","0"
"apatel","10177","29325797","0"
"apatel","12875","30237411","0.03"
"asakuraba","10205","30086261","0"
"asakuraba","10205","30126019","0"
"asakuraba","10205","30136047","0"
"asakuraba","10205","30102219","0"
"asakuraba","10205","30084376","0"
"asakuraba","10205","29706374","0"
"asakuraba","10205","29417325","0"
"asakuraba","10205","29506124","0"
"asakuraba","10205","29417331","0"
"asakuraba","10205","29462385","0"
"asakuraba","12885","30086261","0"
"asakuraba","12885","30126019","0"
"asakuraba","12885","30136047","0"
"asakuraba","12885","30102219","0"
"asakuraba","6723","30086261","0.03"
"asakuraba","6723","30126019","0.086"
"asakuraba","6723","30136047","0"
"asakuraba","6723","30102219","0"
"asakuraba","6723","30084376","0"
"asakuraba","6723","29706374","0"
"asakuraba","6723","29417325","0.039"
"asakuraba","6723","29506124","0"
"asakuraba","6723","29417331","0.035"
